tm_name;tm_position;nationality;age;club;last_update;market_value_euro
Facundo Bernal;Volante;Uruguai;22;Fluminense FC;10/12/2025;6000000.0
Matheuzinho;Lateral Dir.;Brasil;25;SC Corinthians;10/12/2025;6000000.0
Kayky;Ponta Direita;Brasil;22;EC Bahia;10/12/2025;6000000.0
Matheus Martins;Ponta Esquerda;Brasil;22;Botafogo FR;10/12/2025;6000000.0
Rodriguinho;Meia Ofensivo;Brasil;21;São Paulo FC;10/12/2025;6000000.0
Ryan Francisco;Centroavante;Brasil;19;São Paulo FC;10/12/2025;6000000.0
Khellven;Lateral Dir.;Brasil;24;SE Palmeiras;10/12/2025;6000000.0
Marlon Freitas;Volante;Brasil;30;SE Palmeiras;10/12/2025;6000000.0
Riquelme;Ponta Direita;Brasil;18;Fluminense FC;10/12/2025;6000000.0
Santiago Rodríguez;Meia Ofensivo;Uruguai;26;Botafogo FR;10/12/2025;5500000.0
Rony;Centroavante;Brasil;30;Atlético Mineiro;10/12/2025;5000000.0
Francis Amuzu;Ponta Esquerda;Bélgica;26;Grêmio FBPA;10/12/2025;5000000.0
Ayrton Lucas;Lateral Esq.;Brasil;28;CR Flamengo;10/12/2025;5000000.0
Erick Pulgar;Volante;Chile;31;CR Flamengo;10/12/2025;5000000.0
Murilo;Zagueiro;Brasil;28;SE Palmeiras;10/12/2025;5000000.0
Robinho Junior;Ponta Esquerda;Brasil;18;Santos FC;10/12/2025;5000000.0
Jorginho;Volante;Itália;34;CR Flamengo;10/12/2025;5000000.0
Ruan Pablo;Ponta Esquerda;Brasil;17;EC Bahia;10/12/2025;5000000.0
